id,question,gold_standard_answer,gold_standard_documents,,,
63,How to I enable/adjust compression with DRBD? ,"You can follow steps in KB 1474 that describes what needs to be adjusted in ""/etc/drbd.d/r0.res"" file on your appliances.

""To enable or adjust compression with DRBD, follow these steps based on your system configuration:

For SL1 OL7 systems using DRBD8:
Enable compression by editing the /etc/drbd.d/r0.res file on all cluster members.
Add the following lines in the proxy section (where memlimit is defined):
plugin { zlib level 5; }
Example:
resource r0 {
    ...
    proxy {
        memlimit 1024M;
        plugin { zlib level 5; }
    }
    ...
}
Restart the DRBD proxy service:
On SL1 11.x or older:
/etc/init.d/drbdproxy stop; /etc/init.d/drbdproxy start;
On SL1 12.x+ (OL7):
systemctl stop drbdproxy; systemctl start drbdproxy;
Verify compression is active:
echo 1 > /sys/module/drbd/parameters/proc_details
watch -n 2 ''drbd-proxy-ctl -c """"show hconnections""""; echo; drbd-proxy-ctl -c """"show memusage""""; echo; cat /proc/drbd''
⚠️ Important Notes:

Use zlib level 5 as the recommended balance between compression and CPU load.
Only enable compression if bandwidth is limited and the system has CPU headroom (load average < 80% of physical cores).
Do not change compression settings without guidance from ScienceLogic Support.
For SL1 OL8 systems (DRBD9):
Compression is enabled by default using lz4.
The compression level is set automatically during cluster setup and should not be changed without explicit support direction.
If you see false """"trailing garbage"""" warnings in systemctl status drbdproxy, they are not actionable — the configuration is applied correctly.
✅ Recommendation: If you''re on OL8, avoid manual compression changes. Use the default lz4 compression.

Let me know if you want help checking your current setup.""",Using Compression with DRBD,,,
64,Is there a memory limit that SL1 processes can use? How to change that? ,"Yes, there is a virtual memory limit. To adjust you need to [PROC_VIRTUAL_MEM_LIMIT] section into /etc/silo.conf and /etc/siteconfig/siloconf.siteconfig files. Follow steps in KB 3405"," ENG-Device Network Topology Troubleshooting-031025-003742, sciencelogic_sysadmin_12-5-4",,,
65,How do I use newer SMB protocol version for backups? ,"See the main Backup Management documentation page and search ""To access additional configuration options for this backup"" to find the relevant section: https://docs.sciencelogic.com/latest/Content/Web_Admin_and_Accounts/System_Administration/sys_admin_backup_management.htm#defining-a-configuration-backup", sciencelogic_sysadmin_12-5-4,,,
66,I have issues with SNMPv1 traps not generating events,"You might need to try steps in KB 5623: 


Titlev1 SNMP traps not getting aligned to the source device
Summary
Article DetailsIn SL1, the default behavior for v1 traps is to always align them to a device based on the agent_addr varbind contained in the trap. So you may see devices sending v1 traps to SL1 but they end up in the message collector logs as ""Trap Received from Unknown Device..."". Or, you may see the traps being aligned to a different device entirely and this is because the source device is sending along an ""agent_addr"" value in the trap that references a different IP address.

If the devices are including an agent_addr varbind, make sure the devices are configured to populate this varbind with the ip address of whichever device you want SL1 to align the trap with.

agent_addr varbinds are optional, however and in the case that the device are not including this varbind, there are 3 options to make sure v1 traps get aligned properly:

1. Configure the devices to include an appropriate agent_addr varbind with their v1 traps. Consult the device vendor on how to create custom varbinds on the device.
2. Configure the devices to use v2 or v3 traps instead, which we process differently and, by default, they route to the source address if no agent_addr varbind is provided.
3. Or, per the documentation (Global Settings that Affect SNMP Trap Processing):
To add a settings to the silo.conf file on an appliance:

Either go to the console of the SL1 appliance or use SSH to access the server.
Login as user em7admin with the password you configured during setup.
At the shell prompt, enter the following:
sudo visilo
On a line of its own, add the new entry in the [LOCAL] section: 
use_v1trap_envelope_addr=15. Save your changes and exit the file (:wq).
6. Restart the EM7 Core: Event Processing Engine engine:
sudo systemctl restart em7_event",SNMP traps not getting aligned to the source device,,,
67,My /var/log partition is getting full. What can I do to prevent that? ,"There is a known issue KB 6133 for the issue that was addressed in 12.3.1 release. If you are running on older release, you might need to upgrade your system. KB contains steps to resolve the issue if an upgrade is not an option.: From the KB: ""Here’s what you can do to prevent your /var/log partition from filling up:

🔍 Step 1: Identify the Largest Files
Run these commands to find the biggest culprits:

df -h /var/log
du -sh /var/log/* | sort -hr | head -n 10

Common offenders:

/var/log/azure/ – Azure collector logs (see KB: Azure Logs Keep Filling Up)
/var/log/em7/snmp_collector.log.* – SNMP collector logs (see KB: Concurrent Network Interface Collection)
/var/log/phonehome/shell_phonehome.log – Phonehome logs (see KB: Shell Phonehome Log Too Large)
/var/log/sl1/ – SL1 logs (bug in OL8 systems, see KB: /var/log Filling Repeatedly)
/var/log/ with deleted files still holding space (due to rsyslog HUP bug)
🛠️ Step 2: Immediate Fixes
File/Directory Action
/var/log/azure/Microsoft* Clear with: echo > /var/log/azure/Microsoft*
/var/log/em7/snmp_collector.log.* Remove: rm /var/log/em7/snmp_collector.log.*
/var/log/phonehome/shell_phonehome.log Zip and zero:
tar -zcvf """"shell_phonehome.log.$(date ''+%Y-%m-%d'').tgz"""" shell_phonehome.log
> shell_phonehome.log
``` |
| `/var/log/sl1/` (OL8, 12.1.x) | Fix logrotate: edit `/etc/logrotate.d/sl1` and change `postrotate` to:  
```bash
postrotate /usr/bin/systemctl -s HUP kill rsyslog.service >/dev/null 2>&1 || true endscript
``` |

---

### 📆 Step 3: Prevent Future Issues

- ✅ **Add logs to log rotation**: Use [Adding Log Files to the Log Rotation Schedule](#) KB.
- ✅ **Check data retention settings**: Go to `System > Settings > Data Retention` and reduce retention if needed.
- ✅ **Reduce log verbosity**: Set `LOG_LEVEL=WARNING` in `/opt/em7/services/snmp_collector/snmp_collector_shared.env`.
- ✅ **Monitor regularly**: Use `df -h /var/log` and alerting to catch issues early.

---

### 🔄 Optional: Restart Services
After cleanup, restart related services:
```bash
systemctl restart rsyslog
systemctl restart snmp_collector

💡 Note: Never delete MySQL or Couchbase data files. Use proper pruning via maintenance or retention settings.

Let me know if you want a graph of log growth trends or a log rotation plan.""",SL1 Appliance Partition Full Issues,,,
68,"I see ""Thread died in Berkeley DB library"" when running an rpm command. What should I do? ","You might be hitting an issue described in KB 8821. Please follow steps in the KB to resolve.

'''""You''re seeing the """"Thread died in Berkeley DB library"""" error because your RPM database (RPMDB) is corrupted. This is a known issue on ScienceLogic appliances and can prevent commands like rpm -qa from working.

Here’s what you should do:

✅ Immediate Fix: Rebuild the RPM Database
Follow these steps to resolve the corruption:

Backup the current RPM database:

sudo mkdir /tmp/rpm.bak
sudo cp -a /var/lib/rpm/ /tmp/rpm.bak/

Remove the corrupted database files:

sudo rm -f /var/lib/rpm/__db.[0-9][0-9]*

Rebuild the RPM database and clean caches:

sudo rpm --quiet -qa
sudo rpm --rebuilddb
sudo rm -f /var/lib/rpm/.rpm.lock
sudo rm -f /var/lib/rpm/.dbenv.lock
sudo yum clean all

Verify the fix:

sudo rpm -qa

If this runs without errors, the issue is resolved.

Clean up the backup (optional):

sudo rm -rf /tmp/rpm.bak/

Note: This issue can occur after system crashes, power failures, or during upgrades. If you''re on an older SL1 version (before 8.14.5 or 10.1.0), consider upgrading to a newer release where this bug is fixed.

Let me know if you''d like help checking your current version or confirming the fix.""''",​​​​​​​[MAJOR] Yum DB Corruption Issues,,,
69,I am unable to discover Juniper devices. Hitting an Unhandled Exception,"Hidden spaces in the Discovery Qualifier and Qualifier Match (Value) fields in the device class cause internal field matching to fail.
Workaroung steps in KB 12063:  Root Cause
The Juniper Base Pack (versions prior to 104) has device classes with hidden spaces in the identifyer_2 or identifyer_3 fields.
When discovery runs, it tries to match these fields, but encounters NoneType or invalid strings due to the spaces.
This triggers a TypeError: expected string or Unicode object, NoneType found — which causes the discovery to hang or fail silently.
 Fix: Clean Up the Database Fields
You need to run two quick SQL queries in the DB Tool (System > Tools > DB Tool):

UPDATE master.definitions_dev_classes 
SET identifyer_2 = '''' 
WHERE class LIKE ''%juniper%'' AND identifyer_2 = '' '';

UPDATE master.definitions_dev_classes 
SET identifyer_3 = '''' 
WHERE class LIKE ''%juniper%'' AND identifyer_3 = '' '';
 Note: These queries replace only fields that contain a single space ('' '') with an empty string.

After Running the Queries:
Restart the discovery process (either a new Initial Discovery or a Re-discovery).
Check System > Monitor > System Logs to confirm no more Unhandled Exception errors.
Verify that Juniper devices are now being discovered correctly.
 Pro Tip:
This issue is fixed in Juniper Base Pack v104. If you’re on an older version, consider upgrading to avoid this issue long-term.",[MINOR] Discovery UHE error while discovering Juniper devices,,,
70,I have PowerShell Collection issues. How do I fix it? ,"You can follow troubleshooting steps in KB 11811. If you need to open a case, please also follow KBs below:
Legacy PowerShell: What to Collect on ""PowerPacks: Solution: Microsoft"" Cases(https://support.sciencelogic.com/s/article/1417)
Concurrent PowerShell: What to Collect on ""PowerPacks: Solution: Microsoft"" for Concurrent PowerShell Cases(https://support.sciencelogic.com/s/article/9498)
You can also check commone errors and solutions in KB 7129","ENG-Powershell Collection Troubleshooting-031025-024433, Windows PowerShell Common errors and reasons v2, Enhanced Troubleshooting Guide - PowerShell",,,
71,Why some users cannot see certain device groups? ,"If a Device Group was created by a user that has been deleted, then this device group may not appear. The affected Device Group will have a blank owner when viewed from an administrator account, whereas a normal user will not be able to view it. It is a Known Issue. Workaround available in KB 12070",[MINOR] Users unable to see some shared device groups,,,
72,Why pre-upgrade check is timing out on collectors? ,"
If SL1 is stuck with the message ""Update Manager Running"" , these steps will show you how to Stop/
Reset Pre-Upgrade.
Example:
Procedure
Task 1: SSH to the CDB or DE for your SL1 instance.
Step 1:  Enter MySQL
silo_mysql
Example:
[root@emurillo-8-14-AIO ~]# silo_mysql
Welcome to the MariaDB monitor. Commands end with ; or \g.
Your MariaDB connection id is 9124143
Server version: 10.4.18-MariaDB-log MariaDB Server
Copyright (c) 2000, 2018, Oracle, MariaDB Corporation Ab and others.
Type 'help;' or '\h' for help. Type '\c' to clear the current input statement.
MariaDB [(none)]>
Task 2: Find (sid)
Step 1:  select max(sid) from siloupdate.preupgrade_schedule;
Example:
MariaDB [siloupdate]> select max(sid) from siloupdate.preupgrade_schedule;
+----------+
| max(sid) |
+----------+
| 12 |
+----------+
1 row in set (0.000 sec)
patch.PNG
•
◦
• 
Task 3: Update Appliance Pre-Upgrade
Step 1: update siloupdate.appliance_preupgrade set state=4 where sid=x;
Example:
MariaDB [siloupdate]> update siloupdate.appliance_preupgrade set state=4 where sid=12;
Query OK, 10 rows affected (0.000 sec)
Rows matched: 10 Changed: 10 Warnings: 0
MariaDB [siloupdate]> select * from siloupdate.appliance_preupgrade;
Task 4: Update Pre-Upgrade Schedule
Step 1: update siloupdate.preupgrade_schedule set state=4 where sid=x;",How To Stop:Reset Pre-Upgrade when process is stuck Upgrading,,,
73,How do I change Virtual IP on HA cluster? ,"To change the Virtual IP address, login to the Primary database node and put the node into Maintenance mode using coro_config command. Then run ""crm config edit virtual_ip"" modify the IP and save the changes. Take the cluster out of maintenance using coro_config command. For detailed steps follow KB 15590: ",sciencelogic_sysadmin_12-5-4,,,
74,Why DR backup is failing? ,"It could be because pacemaker service is stopped on DR node. Check if pacemaker is running on DR node using ""sudo systemctl status pacemaker"" command. To addresss that start the service using ""sudo systemctl start pacemaker"". KB 16004 contains more details about the issue.",DR Backup results in _Parse error in DRBD config_,,,
75,Why my inbound email processing is not working? ,"You might be hitting a known issue described in KB 16299. Please try to go to the System > Settings > Email page, click save and see if that resolves the issue.","[MAJOR] Inbound Email no longer works after updating to 12.2.1.2, Debugging and testing the inbound email configuration",,,
76,What are the commands to check the cluster that uses a quorum-witness node? ,"Some common commands are described in KB 16279. Here are examples:
On CDB Nodes
shows the resource status: ""crm_mon""
shows quorum status: ""corosync-quorumtool""
shows if members are joined to the rings: ""corosync-cmapctl | grep members""
shows status of quorum device: ""corosync-qdevice-tool -s""
On AP Quorum witness
shows number of connected clients: ""corosync-qnetd-tool -s""
shows connected clients, member node list and vote status: ""corosync-qnetd-tool -l""",Checking AP Quorum witness status and failure behavior,,,
77,Why Filesystem report erroneously shows utilization above 100%? ,"When generating the Reports > Run Report > Storage > File System Report, you see values under Available (%) and/or Used (%) above 100% if the report is generated in ODS format and it is opened with Excel. When a user on Windows opens an .ODS report in MS Office, the percentage values are incorrectly multiplied by 100. This is a compatibility issue with Windows. For this reason, we recommend that Windows users use the XLSX format instead of the ODS format.",Database Partition Full,,,
78,Getting Error Code 3 when running a Configuration backup. How do I fix that? ,"You might hit an issue from KB 16350, where you need to increase max_allowed_packet value to 256M in /etc/my.cnf.d/mysql-client.cnf file, in [mysqldump] section.",Config backup fails with Error Code 3,,,
79,How do I know when my SL1 license is going to expire? ,"You can run a query from System > Tools > DB Tool page that looks like this: ""select id, name, ip, descr, qty, expiration from master.system_settings_licenses where function=2;""","How do I see the license expiration data on my SL1 system?, sciencelogic_ha_and_dr_12-3-0",,,
80,Why do I have PowerShell Kerberos timeout issues every 4 hours? ,It could be because of a known issue when pypsrp is enabled. Recommendation is to upgrade to 12.2.2+ or 12.3.0 release. Workaround is to revert to the old pywinrm module using this query: UPDATE master.system_custom_config set field_value = 0 WHERE field = 'enable_pypsrp_lib';,[MINOR] PowerShell - Kerberos Timeout errors every 4 hours,,,
81,Duplicated question: How do I resolve Split-Brain on OL8 appliances?,"How do I fix it?
Make sure that the drbd resource is up, if it is down due to split brain. You will see this
[em7admin@ha02-node ~]$ drbdadm status
# No currently configured DRBD found.
Start the resource by executing
sudo drbdadm up r0
If both devices are currently primary, demote the one that should be a secondary DB via the command (Demote DR node by using ""coro_config""): 
sudo drbdadm secondary r0
If the above command does not work, then run:
sudo drbdadm secondary r0 --force
If both nodes are currently secondary, promote the one that should be a primary DB via the command (Promote DR node by using ""coro_config""): 
sudo drbdadm primary r0
If the above command does not work, then run: 
sudo drbdadm primary r0 --force
Once their roles are defined, the secondary node will need to discard all of its synchronized data and accept that the primary is the definitive source.  Please make sure you run the command below only if you are certain that you are running it on the Secondary DB. Therefore, on the secondary node, run the command: 
sudo drbdadm connect --discard-my-data r0
Then, on the primary node, run the command: 
sudo drbdadm connect r0
Check if the nodes are connected and synchronizing by running the command: 
drbdadm status
 
Running the commands above will connect both nodes at the same time if your SL1 is in a HA+DR cluster. If you want to connect or disconnect a specific node, then you will need to specify which node you want to perform the action on. Using the following example:
 
r0 role:Primary
  disk:UpToDate open:yes
  dr-node role:Secondary
    peer-disk:UpToDate
  ha02-node role:Secondary
    peer-disk:UpToDate

To disconnect and connect the dr-node peer, run the commands (make sure you replace dr-node with the actual hostname of the peer in your cluster):
sudo drbdadm disconnect r0:dr-node

sudo drbdadm connect r0:dr-node
To disconnect and connect the ha02-node peer, run the commands (make sure you replace ha02-nodewith the actual hostname of the peer in your cluster):sudo drbdadm disconnect r0:ha02-node

sudo drbdadm connect r0:ha02-node","Resolving Split-Brain in OL8, sciencelogic_ha_and_dr_12-3-0",,,
82,"Why backup fails to NFS share with ""permission denied"" error? ",Follow the steps in KB 14664. Review blog post here that explaind how to setup an NFS server for SL1 backups: https://community.sciencelogic.com/blog/pro-services-blog/how-to-set-up-an-nfs-server-for-sl1-backups/3025,Backup fails to NFS server - Permission denied,,,
83,Can I share SL1 appliances between 2 stacks? ,It is not possible to for a message collector or data collector to be part of more than one SL1 stack at any one time.Reference KB 9929,"Can an SL1 appliance be shared between stacks?, sciencelogic_ha_and_dr_12-3-0",,,
84,Do you have an FAQ for python 3 migration? ,"Yes, check KB 12014: 


SummaryPython 3 Migration FAQ
Article DetailsWhat is the Python 3 migration? SL1 is transitioning away from supporting Python 2 and switching to Python 3. All PowerPacks and custom content must also migrate from Python 2 to Python 3 as well.

Why is ScienceLogic moving away from Python 2? Python 2 is no longer supported. This means that if there is a bug or security problem on Python 2, it may be very difficult to address that problem in a timely manner. In addition, open source components are also dropping support for Python 2 and moving to Python 3.

When will Python 2 go away? The core SL1 Platform will switch to Python 3 with the v12.3 release. However, ScienceLogic will still include Python 2 in parallel with Python 3 until Q2 2025.

What do I need to do about this? ScienceLogic is going to proactively migrate the product and the PowerPacks we support to Python 3. However, any custom content to include customer created PowerPacks must be recreated utilizing ScienceLogic provided enablement tools or migrated to Python 3 before Q2 2025.

How do I migrate my content to Python 3? Please see the documentation on Custom Content/PowerPacks - Migrating Content to Python 3 .

How do I know if I have custom content? ScienceLogic has provided a SL1: System Upgrade Assessment to scan your SL1 installation for Python content. This tool provides an easy-to-use report that identifies custom content.

What are my options to migrate to Python 3? There are two different approaches to migrating to Python 3 to consider:
a. For REST API and CLI - based connections, download and utilize the ScienceLogic low-code enablement tools (CLI/SSH Toolkit, REST Toolkit). This process will replace your current PowerPacks containing Python 2 code. This is the highly preferred approach.
b. Migrate custom snippet content from Python 2 to Python 3 and convert any custom Python libraries to Python 3. This approach is appropriate only when there is a heavy investment in non-Snippet Framework based custom code. Open-source tools exist to expedite but not totally automate this process.



What will happen to the community packs? Because these PowerPacks are not officially supported they will not be included in the Python 3 conversion effort. Most of these community PowerPacks, if used, have some degree of customer-specific customization. However, utilizing the CLI/SSH Toolkit or REST Toolkit, they can be recreated as needed.",Python 3 Migration FAQ,,,
85,"Where is ""Force Secure HTTPS"" option? ","As of SL1 version 12.2.0, HTTPS is enforced by default. And that option is no longer available to configure.",When Configuring SL1 to Use Only HTTPS - the Force Secure HTTPS option is not present,,,
86,I have issues with Subscription Billing. What should I do? ,"Please use test_subscription.sh script in the KB 1168 that should help validate the configuration. The test_subscription.sh script (attached to this KBA) can be
used from the CDB to validate the configurationNOTE: the test_subscription script has not been updated to handle the new billing API
changes that were implemented on July 2nd, 2025",Troubleshooting Subscription Billing,,,
87,I am hitting Report Format Conversion Failed error when generating a Report,"It could be a known issue form KB 4901.
You''re encountering the ""Report Format Conversion Failed"" error when generating a report. Here’s what’s likely happening and how to fix it quickly:
- Root Cause
This error typically occurs when the system fails to convert an .ods (OpenDocument Spreadsheet) report into your desired format (.xlsx, .pdf, .html) due to:

A missing or corrupted php-fpm service
Missing /tmp directories used by the conversion process
A recent reboot or upgrade (especially in versions 12.1.2+)
- Immediate Fix (Try This First)
Run this command on the Appliance where reports are generated:

sudo systemctl restart php-fpm
This often resolves the issue immediately, especially after a reboot or upgrade.

If the Problem Persists: Check /tmp Directories
SSH into the appliance.

Run:

cd /tmp
ls -al | grep php
Look for a directory like:

drwx------   3 root    root    17 Feb 19 12:50 systemdprivate-8c107f7e8ab943b6997b7adf8af54db2-php-fpm
If it’s missing:

Restart php-fpm again (as above).
The system should recreate it automatically.
",Report_Format_Conversion,,,
88,How to configure SNMPv3 traps with Juniper devices? ,"For JUNOS devices you need to add SL1 appliance engine ID into the Juniper device configuration. To get engine ID form SL1 appliance you can use command below:
snmpget -v 3 -u em7defaultv3 -l authPriv -a MD5 -A em7authpass -x DES -X em7privpass localhost 1.3.6.1.6.3.10.2.1.1.0",How to Receive SNMP v3 Traps From Juniper Devices,,,
89,Why my scheduled tasks are not running in Restorepoint? ,Make sure that the schedule is not paused in the Info > Schedule page.,restorepoint-userguide-56,,,
90,How to configure SSO with Azure SSO in RestorePoint? ,"Please follow steps documented here: https://docs.sciencelogic.com/restorepoint/latest/Content/Web_Restorepoint/15_SAML.html

A concise guide to configure SSO with Azure AD in RestorePoint:

Step 1: Configure Azure AD (IdP)
Go to Azure Portal > Enterprise Applications > New Application.
Search for """"Azure AD SAML Toolkit"""", select it, and create the app (e.g., ScienceLogic SL1 Production SSO).
Navigate to Single sign-on (SAML) > Basic SAML Configuration:
Identifier (Entity ID):
https://<your_SL1_domain>/samlsp.em7?action=metadata
Reply URL (ACS URL):
https://<your_SL1_domain>/samlsp.em7?action=acs
Sign On URL:
https://<your_SL1_domain>
Save the settings.
Assign users/groups under Users and groups > Add user/group.
Collect these values from the SAML Certificates and Single sign-on pages:
IdP SSO URL: Login URL
IdP Entity ID: Azure AD Identifier
IdP SLS URL: Logout URL
IdP Certificate (Base64): Download and copy the full certificate
IdP Cert Fingerprint: From the certificate thumbprint
Step 2: Configure RestorePoint (SP)
Go to Administration > Auth Servers > SAML.
Fill in the fields using data from Azure AD:
ACS URL: https://<your_SL1_domain>/samlsp.em7?action=acs
Entity ID: https://<your_SL1_domain>/samlsp.em7?action=metadata
IdP Metadata: Paste the full SAML metadata XML (from Azure AD) or use the individual fields:
IdP SSO URL
IdP Entity ID
IdP SLS URL
IdP Certificate (Base64)
IdP Cert Fingerprint
Optional: Map claims:
Email Claim: e.g., email
Given Name Claim: e.g., givenName
Surname Claim: e.g., surname
Groups Claim: e.g., groups
Click Save.
Step 3: Create Authentication Profile
Go to Administration > Authentication > Profile.
Create a new profile:
Profile Name: e.g., Azure AD SSO
AP Hostname Pattern: https://<your_SL1_domain>
Move EM7 Login Page and HTTP Auth to Aligned Credential Sources
Add your SAML resource to Aligned Authentication Resources
Save the profile.
Step 4: Test SSO
Open an Incognito/Private window.
Navigate to https://<your_SL1_domain>.
Click Login with SSO.
You should be redirected to Azure AD.
After login, you should be redirected back to RestorePoint.
---  Note: If login loops, restart the nextui service:

sudo systemctl restart nextui
sudo systemctl status nextui
Optional: Dynamic Policy Alignment
In Azure AD, go to Enterprise Application > Single sign-on > Attributes & Claims.
Add custom claims (e.g., group, role) and map them to SL1.
Use these in SAML Group mappings in RestorePoint.
Important Limitations
--- RestorePoint does not support encrypted SAML assertions.","Single Sign On Configuration with Azure Active Directory, saml_guide",,,
91,How to disable automatic updates in Restorepoint? ,"1. Navigate to Administration - System Settings - Appliance
2. Check the box(es) Disable Automatic Version Upgrades and/or Disable Automatic Minor Upgrades
Refer to KB 12385",restorepoint-userguide-56,,,
92,How to fix scheduler service segfault issue? ,You might hit a known issue in KB 15711. We recommend to ugrade to 12.3.0 release. However a manual drop-file workaround is documented in the KB.,[MAJOR] Scheduler service is segfaulting after upgrade,,,
93,"How do I address ""Failed to store the result of ModuleCmdStorage"" issue? ","Upgrade to 12.2.5, 12.3.1 or newer release. If an upgrade is not an option, please open a Support Incident case to see if a drop file workaround can be provided. Please mention EM-67223 and this KB ID, when opening the case.",[MINOR] Failed to store the result of ModuleCmdStorage,,,
94,How do I copy text from a TMUX session? ,"From KB 15917.
For Windows Users:
In Windows holding the SHIFT key as a modifier will usually allow copy/paste to work again.
For Linux GUI Users:
In Linux holding the SHIFT key as a modifier will usually allow copy/paste to work again.
For Paste: Hold the SHIFT key and right-click then select paste
For Mac Users:
In Mac holding the ""fn"" (function) or ""option"" key as a modifier will usually allow copy/paste to work again.
For Copy: Hold the ""fn"" (function) key to highlight the text, then press CMD + C to copy
Note: Some applications like ""AWS Session Manager"" require holding the ""option"" key instead to highlight text
For Paste: Paste works normally and only requires pressing CMD + V",Unable to Copy or Paste Text in SSH Sessions on SL1 v12.2+,,,
95,Why some devices have partially discovered interfaces?,"You might hit a known issue infrom KB 15964 if you are runnig on versions older than 12.3.0, 12.5.0, and 12.2.3: 
Issue
This issue affects the Interface monitoring on end devices and the Interface Reporting. It was reported
on all devices monitored in SL1, where Interfaces were partially discovered. It was reported on 12.1.1
OL7 and 12.2.0 OL8 versions.
Details
Interface discovery gets terminated with an exception error, Running the discovery process in debug
mode will have an expectation while IF discovery is running on end device.
Steps To Reproduce
Review the discover_ip_range.log (Discovery Auto) for the reported DID, It was trying to discover the
Interface after a specific Ifindex 305 it got an exception error and skipped discovering new Interfaces.
 You might see that the stack has Nightly Discovery, Interface bandwidth and Dynamic App. collection
processes SIGTERMs and terminations.
Workaround
Perform the below steps and raise a support case with logs.
1- Enable debug on the Discovery Auto, Discovery Detail and Discovery Nightly update processes
2- From the device properties click binocular icon to rediscover the problematic device
3- Let the device ran through nightly discovery process and capture all the logs from the collectors next day
tar -czvf /tmp/case#.logs /var/log/sl1/discover*
Engineering team will review the logs to see if any other traceback errors or exceptions are present
and will provide the drop-file accordingly as a workaround.
Fix
The fix is targeted in the future releases 12.3.0, 12.5.0, and 12.2.3",[MINOR] Interfaces partially discovered on end device,,,
96,Did you change alerting related to Oracle Database Tablespace monitoring? ,"Yes, in v106 of the PowerPack. Details are in KB 16124",How Alerts to Monitor Tablespace Size Have Changed in the Oracle: Database PowerPack v106,,,
97,Is there an ISO that I should use for newer Dell hardware? ,There is an ISO that is linked in the KB 16463 that might contain newner drivers and have a higher success on newer Dell hardware.,[NOTICE] ISOs may not have the drivers necessary to support current Dell hardware,,,
98,Why NFS-remote option is not working for backups? ,Please check if you have username/password field populated in the credentials that you use for NFS -remote backups. Remove those if that is the case. You might be hitting an issue in KB 16502 that is targeted to be fixed in 12.5.0.,[MAJOR] DR Full_Config backup is not triggering for NFS-remote,,,
99,Why Ctaskman service keep crashing with a deadlock? ,"You might hit an issue if you are running on releases older than 12.5.0 and 12.3.2. Details are in KB 16494. This is not a critical issue, as the service simply restarts. To resolve it, you will need to update to a version that includes the fix.



Ctaskman service keep crashing. 
Could see the below critical unhandled Exception in System Logs. 
2024-12-13T11:02:34.713269+00:00 localhost silo.em7_ctaskman.68[3983075]: CRITICAL proc_pda.__init__ 262 Unhandled exception on appliance: 237, process Enterprise Database: Collector Task Manager:#012Traceback(most recent call last):
#012  File ""/opt/em7/backend/process/proc_pda.py"", line 231, in __init__
#012  File ""/opt/em7/backend/silo_db/c_task_manager.py"", line 588, in main
#012  File ""/opt/em7/backend/silo_db/c_task_manager.py"", line 509, in do_general_tasks
#012  File ""/opt/em7/backend/silo_db/c_task_manager.py"", line 329, in cug_realign
#012  File ""/opt/em7/backend/silo_common/appliance_mgmt.py"", line 1227, in align_orphan_devices
#012  File ""/opt/em7/backend/silo_common/database.py"", line 126, in callFunc
#012  File ""/opt/em7/backend/silo_common/database.py"", line 534, in execute
#012  File ""/opt/em7/lib/python/mysqlclient-1.3.7-py2.7-linux-x86_64.egg/MySQLdb/cursors.py"", line 226, in execute
#012    self.errorhandler(self, exc, value)
#012  File ""/opt/em7/lib/python/mysqlclient-1.3.7-py2.7-linux-x86_64.egg/MySQLdb/connections.py"", line 36, in defaulterrorhandler
#012    raise errorvalue#012OperationalError: (1213, 'Deadlock found when trying to get lock; try restarting transaction')

Workaround:

This is not a critical issue, as the service simply restarts. To resolve it, you will need to update to a version that includes the fix.
The fix will be in 12.5.0, that will be releasing in a few weeks. 
Fix
Targeted for a fix in a future release v12.5.0 and 12.3.2. (Engineering Request EM-71439)
",ENG-Collector Task Manager-031025-001913,,,
,,,,,,
,,,,,,
,,,,,,
